Block Group,Median Age,Male Median Age,Female Median Age
"Block Group 3, Census Tract 5074.02, Santa Clara County, California",50.3,52.8,48.5
"Block Group 1, Census Tract 5075, Santa Clara County, California",45.5,38.4,50.8
"Block Group 2, Census Tract 5075, Santa Clara County, California",47.9,44.5,49.6
"Block Group 3, Census Tract 5075, Santa Clara County, California",52.5,54.4,48
"Block Group 4, Census Tract 5075, Santa Clara County, California",50.2,45.5,56.4
"Block Group 1, Census Tract 5076, Santa Clara County, California",54.6,55.6,51.1
"Block Group 2, Census Tract 5076, Santa Clara County, California",49,49.4,48.2
"Block Group 3, Census Tract 5076, Santa Clara County, California",53,52.5,53.3
"Block Group 4, Census Tract 5076, Santa Clara County, California",43.9,42.4,48.4
"Block Group 2, Census Tract 5091.09, Santa Clara County, California",32,33.7,28.9
"Block Group 1, Census Tract 5092.01, Santa Clara County, California",30.9,30.9,30.8
"Block Group 3, Census Tract 5092.02, Santa Clara County, California",30.3,28.5,35
"Block Group 4, Census Tract 5092.02, Santa Clara County, California",37.7,39.4,35.8
"Block Group 1, Census Tract 5093.02, Santa Clara County, California",43.1,43.3,42.8
"Block Group 1, Census Tract 5094.01, Santa Clara County, California",35.8,36.3,35.1
"Block Group 2, Census Tract 5094.01, Santa Clara County, California",32.5,32.6,32.3
"Block Group 1, Census Tract 5094.03, Santa Clara County, California",30.7,30.4,30.9
"Block Group 2, Census Tract 5094.04, Santa Clara County, California",29.6,28.5,35.1
"Block Group 2, Census Tract 5095, Santa Clara County, California",30.5,30.8,30.3
"Block Group 3, Census Tract 5095, Santa Clara County, California",35.5,33.5,39.2
"Block Group 1, Census Tract 5096, Santa Clara County, California",34.5,35.5,34.1
"Block Group 2, Census Tract 5096, Santa Clara County, California",34.5,34.7,34.4
"Block Group 2, Census Tract 5097, Santa Clara County, California",30.2,31.1,29.6
"Block Group 3, Census Tract 5097, Santa Clara County, California",41.1,39.5,43.3
"Block Group 4, Census Tract 5098.01, Santa Clara County, California",43.4,42.4,45.7
"Block Group 1, Census Tract 5098.02, Santa Clara County, California",36.1,36.2,36
"Block Group 1, Census Tract 5117.07, Santa Clara County, California",55.3,46.4,65.5
"Block Group 1, Census Tract 5118, Santa Clara County, California",45.2,47.3,44.7
"Block Group 3, Census Tract 5118, Santa Clara County, California",49.7,48.6,50
"Block Group 4, Census Tract 5005, Santa Clara County, California",42.2,46.8,28.8
"Block Group 5, Census Tract 5005, Santa Clara County, California",56,44.8,64
"Block Group 1, Census Tract 5020.01, Santa Clara County, California",34,28.8,36
"Block Group 2, Census Tract 5020.01, Santa Clara County, California",35.4,41.4,32.6
"Block Group 3, Census Tract 5020.01, Santa Clara County, California",34.8,34.1,35.9
"Block Group 1, Census Tract 5020.02, Santa Clara County, California",36.6,32.1,42.3
"Block Group 3, Census Tract 5020.02, Santa Clara County, California",31.5,29.3,35.4
"Block Group 1, Census Tract 5021.01, Santa Clara County, California",33.6,31.9,33.7
"Block Group 2, Census Tract 5023.02, Santa Clara County, California",34.8,36.2,34.2
"Block Group 1, Census Tract 5026.04, Santa Clara County, California",35.3,36.3,35.1
"Block Group 1, Census Tract 5027.01, Santa Clara County, California",48.5,48.3,48.8
"Block Group 1, Census Tract 5028, Santa Clara County, California",44.5,45,43.6
"Block Group 3, Census Tract 5028, Santa Clara County, California",43.9,40.6,47.2
"Block Group 1, Census Tract 5029.02, Santa Clara County, California",43.7,49.9,39.4
"Block Group 3, Census Tract 5058, Santa Clara County, California",40.6,40.7,40.6
"Block Group 4, Census Tract 5058, Santa Clara County, California",39.6,41.1,38.9
"Block Group 2, Census Tract 5062.02, Santa Clara County, California",42,43,41.2
"Block Group 3, Census Tract 5062.02, Santa Clara County, California",47.2,38.9,58.8
"Block Group 1, Census Tract 5062.03, Santa Clara County, California",27.4,25.7,32.7
"Block Group 2, Census Tract 5062.03, Santa Clara County, California",32.8,29.7,34.6
"Block Group 1, Census Tract 5062.04, Santa Clara County, California",38.9,43,36.2
"Block Group 4, Census Tract 5062.04, Santa Clara County, California",53.9,53.6,54.1
"Block Group 2, Census Tract 5063.02, Santa Clara County, California",34.3,34.7,34.1
"Block Group 2, Census Tract 5063.04, Santa Clara County, California",34.1,34,34.2
"Block Group 3, Census Tract 5063.04, Santa Clara County, California",31.2,29,34
"Block Group 1, Census Tract 5063.05, Santa Clara County, California",27.5,22.3,35.2
"Block Group 2, Census Tract 5063.05, Santa Clara County, California",35.1,32.3,41
"Block Group 3, Census Tract 5063.05, Santa Clara County, California",38.6,41,34.6
"Block Group 4, Census Tract 5063.05, Santa Clara County, California",36.8,35.7,38.1
"Block Group 1, Census Tract 5064.01, Santa Clara County, California",29.8,30.3,27.9
"Block Group 2, Census Tract 5064.01, Santa Clara County, California",29.2,28.5,30.3
"Block Group 3, Census Tract 5066.03, Santa Clara County, California",33.6,29.1,43.1
"Block Group 2, Census Tract 5066.04, Santa Clara County, California",37.1,37.7,36.1
"Block Group 3, Census Tract 5066.04, Santa Clara County, California",37.2,34.5,40.2
"Block Group 4, Census Tract 5066.04, Santa Clara County, California",41.9,53.3,33.2
"Block Group 5, Census Tract 5066.04, Santa Clara County, California",41.2,41,41.2
"Block Group 3, Census Tract 5068.01, Santa Clara County, California",44.4,45.8,44
"Block Group 4, Census Tract 5068.01, Santa Clara County, California",45.4,46.5,45.1
"Block Group 4, Census Tract 5068.02, Santa Clara County, California",43.7,43.4,44.6
"Block Group 2, Census Tract 5070.02, Santa Clara County, California",56,63.1,49.8
"Block Group 1, Census Tract 5072.06, Santa Clara County, California",51.2,48.6,53.5
"Block Group 1, Census Tract 5073.02, Santa Clara County, California",46.8,49.4,44.3
"Block Group 2, Census Tract 5073.02, Santa Clara County, California",59.2,59.9,55.9
"Block Group 1, Census Tract 5076, Santa Clara County, California",54.6,55.6,51.1
"Block Group 3, Census Tract 5077.02, Santa Clara County, California",43.8,48.1,43.2
"Block Group 1, Census Tract 5079.04, Santa Clara County, California",41,42.4,40.8
"Block Group 2, Census Tract 5079.04, Santa Clara County, California",49.3,49.9,48.4
"Block Group 3, Census Tract 5080.04, Santa Clara County, California",34,34.1,32.8
"Block Group 1, Census Tract 5117.07, Santa Clara County, California",55.3,46.4,65.5
"Block Group 1, Census Tract 5118, Santa Clara County, California",45.2,47.3,44.7
"Block Group 3, Census Tract 5118, Santa Clara County, California",49.7,48.6,50
"Block Group 1, Census Tract 5119.11, Santa Clara County, California",41.4,41.3,41.5
"Block Group 2, Census Tract 5119.11, Santa Clara County, California",52.3,49,53.5
"Block Group 3, Census Tract 5119.11, Santa Clara County, California",55.4,56.6,49.9
"Block Group 1, Census Tract 5121, Santa Clara County, California",42.5,39.9,43.5
"Block Group 1, Census Tract 5027.01, Santa Clara County, California",48.5,48.3,48.8
"Block Group 3, Census Tract 5027.01, Santa Clara County, California",32.3,31.4,36.6
"Block Group 1, Census Tract 5028, Santa Clara County, California",44.5,45,43.6
"Block Group 2, Census Tract 5028, Santa Clara County, California",42.7,42.3,42.9
"Block Group 3, Census Tract 5028, Santa Clara County, California",43.9,40.6,47.2
"Block Group 2, Census Tract 5029.01, Santa Clara County, California",40.8,42.3,35.9
"Block Group 3, Census Tract 5029.01, Santa Clara County, California",35.3,33.8,43.7
"Block Group 4, Census Tract 5029.01, Santa Clara County, California",51.2,52.2,47.2
"Block Group 1, Census Tract 5029.02, Santa Clara County, California",43.7,49.9,39.4
