,County,Registered Voters,Ballots Cast,A_Total _Votes,R_Total_Votes,AR_Total,Share_vote,A_share,R_share,cbg,Median Age,Male Median Age,Female Median Age,White,Black,Indian and Alaska,Asian,Pacific,Other,Two races,Two or more,Total educated number,Less than 9th,9th to 12th,High schoo,College no degree,Associate,Bachelor,Graduate,Median household income
26,2108,3462,3105,2086,755,2841,0.914975845410628,0.6718196457326893,0.2431561996779388,60855117051,49.8,44.5,56.8,947.0,62.0,8.0,435.0,9.0,82.0,160.0,173.0,1216.0,14.0,54.0,151.0,111.0,17.0,236.0,633.0,250000.0
27,2125,366,334,210,81,291,0.8712574850299402,0.6287425149700598,0.24251497005988024,60855094012,32.5,32.6,32.3,348.0,7.0,1.0,333.0,3.0,31.0,94.0,98.0,563.0,0.0,21.0,5.0,102.0,63.0,187.0,185.0,189464.0
28,2274,276,247,124,82,206,0.8340080971659919,0.5020242914979757,0.3319838056680162,60855117043,51.0,51.4,50.8,1062.0,5.0,2.0,629.0,3.0,19.0,124.0,129.0,1248.0,0.0,10.0,67.0,120.0,22.0,281.0,748.0,250000.0
29,2275,1173,1086,587,341,928,0.85451197053407,0.5405156537753223,0.3139963167587477,60855117043,51.0,51.4,50.8,1062.0,5.0,2.0,629.0,3.0,19.0,124.0,129.0,1248.0,0.0,10.0,67.0,120.0,22.0,281.0,748.0,250000.0
30,2275,1173,1086,587,341,928,0.85451197053407,0.5405156537753223,0.3139963167587477,60855117071,55.3,46.4,65.5,976.0,10.0,4.0,482.0,0.0,14.0,116.0,123.0,1611.0,15.0,9.0,227.0,139.0,35.0,523.0,663.0,127778.0
31,2278,1128,1014,574,306,880,0.8678500986193294,0.5660749506903353,0.30177514792899407,60855117012,47.7,53.1,43.5,1165.0,4.0,1.0,574.0,3.0,23.0,133.0,137.0,1458.0,0.0,11.0,170.0,98.0,74.0,553.0,552.0,250000.0
32,2281,6,5,0,5,5,1.0,0.0,1.0,60855117042,56.0,56.9,53.5,358.0,3.0,0.0,301.0,3.0,4.0,67.0,69.0,530.0,12.0,0.0,0.0,37.0,10.0,94.0,377.0,250000.0
33,2282,1413,1273,726,402,1128,0.8860958366064414,0.5703063629222309,0.3157894736842105,60855117042,56.0,56.9,53.5,358.0,3.0,0.0,301.0,3.0,4.0,67.0,69.0,530.0,12.0,0.0,0.0,37.0,10.0,94.0,377.0,250000.0
34,2282,1413,1273,726,402,1128,0.8860958366064414,0.5703063629222309,0.3157894736842105,60855117051,49.8,44.5,56.8,947.0,62.0,8.0,435.0,9.0,82.0,160.0,173.0,1216.0,14.0,54.0,151.0,111.0,17.0,236.0,633.0,250000.0
35,2285,2532,2313,1291,772,2063,0.8919152615650671,0.558149589277994,0.33376567228707305,60855117041,57.1,59.1,56.6,1170.0,5.0,3.0,739.0,10.0,33.0,150.0,155.0,1633.0,0.0,28.0,12.0,86.0,37.0,400.0,1070.0,250000.0
