,County,Registered Voters,Ballots Cast,A_Total _Votes,R_Total_Votes,AR_Total,Share_vote,A_share,R_share,cbg,Median Age,Male Median Age,Female Median Age,White,Black,Indian and Alaska,Asian,Pacific,Other,Two races,Two or more,Total educated number,Less than 9th,9th to 12th,High schoo,College no degree,Associate,Bachelor,Graduate,Median household income
111,3821,1089,892,446,333,779,0.8733183856502242,0.5,0.37331838565022424,60855066051,37.8,39.3,37.3,817.0,53.0,32.0,867.0,8.0,361.0,247.0,267.0,1242.0,0.0,62.0,335.0,138.0,93.0,403.0,211.0,116288.0
112,3821,1089,892,446,333,779,0.8733183856502242,0.5,0.37331838565022424,60855066052,38.8,37.1,39.9,717.0,62.0,28.0,623.0,4.0,230.0,233.0,251.0,1566.0,0.0,13.0,241.0,578.0,158.0,419.0,157.0,91793.0
113,3825,1427,1266,609,475,1084,0.8562401263823065,0.48104265402843605,0.37519747235387046,60855065021,44.6,43.0,47.8,942.0,17.0,3.0,232.0,0.0,107.0,194.0,200.0,1089.0,14.0,23.0,208.0,319.0,69.0,296.0,160.0,88056.0
114,3825,1427,1266,609,475,1084,0.8562401263823065,0.48104265402843605,0.37519747235387046,60855065022,46.1,46.4,44.7,563.0,21.0,7.0,119.0,1.0,80.0,112.0,127.0,395.0,0.0,9.0,28.0,30.0,31.0,200.0,97.0,119886.0
115,3828,1215,1100,507,444,951,0.8645454545454545,0.46090909090909093,0.4036363636363636,60855067012,43.5,42.2,44.3,689.0,63.0,7.0,714.0,3.0,85.0,183.0,202.0,1023.0,9.0,22.0,155.0,268.0,175.0,219.0,175.0,162546.0
116,3828,1215,1100,507,444,951,0.8645454545454545,0.46090909090909093,0.4036363636363636,60855067013,42.6,42.3,44.7,925.0,15.0,3.0,478.0,2.0,29.0,175.0,186.0,1389.0,33.0,11.0,299.0,217.0,33.0,587.0,209.0,186964.0
117,3835,1393,1272,595,512,1107,0.8702830188679245,0.46776729559748426,0.4025157232704403,60855067013,42.6,42.3,44.7,925.0,15.0,3.0,478.0,2.0,29.0,175.0,186.0,1389.0,33.0,11.0,299.0,217.0,33.0,587.0,209.0,186964.0
118,3840,2253,1997,1017,641,1658,0.8302453680520782,0.5092638958437656,0.32098147220831247,60855027021,,,,,,,,,,,,,,,,,,,,
119,3846,117,102,55,32,87,0.8529411764705882,0.5392156862745098,0.3137254901960784,60855027021,,,,,,,,,,,,,,,,,,,,
120,4665,38,31,13,11,24,0.7741935483870968,0.41935483870967744,0.3548387096774194,60855076002,49.0,49.4,48.2,428.0,4.0,5.0,741.0,1.0,9.0,85.0,92.0,556.0,0.0,0.0,26.0,55.0,36.0,224.0,215.0,250000.0
121,4666,7,7,5,0,5,0.7142857142857143,0.7142857142857143,0.0,60855076002,49.0,49.4,48.2,428.0,4.0,5.0,741.0,1.0,9.0,85.0,92.0,556.0,0.0,0.0,26.0,55.0,36.0,224.0,215.0,250000.0
122,4671,1844,1662,749,722,1471,0.885078219013237,0.450661853188929,0.43441636582430804,60855076001,54.6,55.6,51.1,357.0,3.0,2.0,365.0,0.0,15.0,49.0,56.0,739.0,0.0,31.0,52.0,20.0,51.0,211.0,374.0,199500.0
123,4672,1031,922,419,399,818,0.8872017353579176,0.4544468546637744,0.43275488069414314,60855073022,59.2,59.9,55.9,537.0,6.0,2.0,288.0,0.0,14.0,57.0,59.0,745.0,0.0,0.0,71.0,47.0,20.0,292.0,315.0,172826.0
124,4674,1594,1450,651,630,1281,0.883448275862069,0.4489655172413793,0.43448275862068964,60855074022,53.7,48.3,55.5,624.0,7.0,0.0,349.0,0.0,14.0,83.0,86.0,970.0,4.0,8.0,96.0,191.0,36.0,394.0,241.0,167383.0
125,4675,3153,2852,1242,1270,2512,0.8807854137447405,0.43548387096774194,0.44530154277699857,60855066045,41.2,41.0,41.2,629.0,118.0,4.0,633.0,0.0,105.0,142.0,167.0,824.0,6.0,34.0,74.0,138.0,83.0,276.0,213.0,171333.0
126,4685,1707,1518,724,619,1343,0.8847167325428195,0.4769433465085639,0.4077733860342556,60855073015,59.5,60.7,57.6,872.0,0.0,1.0,558.0,5.0,17.0,124.0,144.0,1498.0,2.0,2.0,104.0,169.0,187.0,421.0,613.0,201816.0
127,4685,1707,1518,724,619,1343,0.8847167325428195,0.4769433465085639,0.4077733860342556,60855073016,62.9,50.9,69.5,668.0,3.0,4.0,560.0,1.0,9.0,47.0,52.0,866.0,0.0,77.0,58.0,49.0,43.0,299.0,340.0,177852.0
128,4687,1777,1624,731,712,1443,0.8885467980295566,0.4501231527093596,0.43842364532019706,60855075002,47.9,44.5,49.6,393.0,3.0,3.0,934.0,2.0,6.0,81.0,87.0,824.0,20.0,0.0,65.0,81.0,23.0,286.0,349.0,186833.0
129,4687,1777,1624,731,712,1443,0.8885467980295566,0.4501231527093596,0.43842364532019706,60855075003,52.5,54.4,48.0,371.0,3.0,0.0,778.0,1.0,11.0,54.0,58.0,954.0,0.0,18.0,72.0,152.0,107.0,306.0,299.0,182679.0
130,4688,3379,3025,1320,1413,2733,0.9034710743801653,0.43636363636363634,0.46710743801652893,60855075001,45.5,38.4,50.8,523.0,2.0,0.0,1291.0,0.0,12.0,97.0,102.0,1178.0,32.0,30.0,36.0,97.0,0.0,305.0,678.0,141875.0
131,4688,3379,3025,1320,1413,2733,0.9034710743801653,0.43636363636363634,0.46710743801652893,60855075002,47.9,44.5,49.6,393.0,3.0,3.0,934.0,2.0,6.0,81.0,87.0,824.0,20.0,0.0,65.0,81.0,23.0,286.0,349.0,186833.0
132,4688,3379,3025,1320,1413,2733,0.9034710743801653,0.43636363636363634,0.46710743801652893,60855075004,50.2,45.5,56.4,357.0,2.0,0.0,971.0,0.0,8.0,63.0,66.0,1143.0,0.0,0.0,21.0,69.0,20.0,416.0,617.0,153818.0
133,4691,2285,2013,903,891,1794,0.8912071535022354,0.4485842026825633,0.4426229508196721,60855075001,45.5,38.4,50.8,523.0,2.0,0.0,1291.0,0.0,12.0,97.0,102.0,1178.0,32.0,30.0,36.0,97.0,0.0,305.0,678.0,141875.0
134,4696,1356,1208,523,551,1074,0.8890728476821192,0.4329470198675497,0.45612582781456956,60855074011,46.3,46.4,46.1,247.0,10.0,5.0,908.0,3.0,11.0,36.0,37.0,963.0,0.0,0.0,12.0,84.0,32.0,374.0,461.0,235147.0
135,4696,1356,1208,523,551,1074,0.8890728476821192,0.4329470198675497,0.45612582781456956,60855074012,51.9,58.6,51.2,315.0,6.0,2.0,788.0,4.0,15.0,60.0,65.0,979.0,59.0,44.0,31.0,104.0,47.0,297.0,397.0,220329.0
136,4698,1201,1075,469,475,944,0.878139534883721,0.43627906976744185,0.4418604651162791,60855076002,49.0,49.4,48.2,428.0,4.0,5.0,741.0,1.0,9.0,85.0,92.0,556.0,0.0,0.0,26.0,55.0,36.0,224.0,215.0,250000.0
137,4699,1732,1559,702,696,1398,0.8967286722257858,0.450288646568313,0.44644002565747276,60855074013,50.9,51.1,50.7,400.0,1.0,1.0,919.0,3.0,17.0,72.0,84.0,892.0,0.0,41.0,104.0,65.0,24.0,290.0,368.0,209792.0
138,4702,1089,962,443,416,859,0.8929313929313929,0.4604989604989605,0.43243243243243246,60855074023,50.3,52.8,48.5,581.0,11.0,0.0,724.0,4.0,15.0,84.0,95.0,1038.0,28.0,46.0,71.0,176.0,127.0,341.0,249.0,147708.0
139,4715,641,511,212,241,453,0.8864970645792564,0.41487279843444225,0.47162426614481406,60855076001,54.6,55.6,51.1,357.0,3.0,2.0,365.0,0.0,15.0,49.0,56.0,739.0,0.0,31.0,52.0,20.0,51.0,211.0,374.0,199500.0
140,4715,641,511,212,241,453,0.8864970645792564,0.41487279843444225,0.47162426614481406,60855076002,49.0,49.4,48.2,428.0,4.0,5.0,741.0,1.0,9.0,85.0,92.0,556.0,0.0,0.0,26.0,55.0,36.0,224.0,215.0,250000.0
141,4715,641,511,212,241,453,0.8864970645792564,0.41487279843444225,0.47162426614481406,60855076003,53.0,52.5,53.3,563.0,4.0,0.0,1124.0,0.0,10.0,77.0,83.0,1277.0,0.0,18.0,73.0,130.0,92.0,429.0,535.0,250000.0
142,4715,641,511,212,241,453,0.8864970645792564,0.41487279843444225,0.47162426614481406,60855076004,43.9,42.4,48.4,829.0,6.0,3.0,1002.0,0.0,18.0,85.0,95.0,1506.0,0.0,31.0,38.0,116.0,36.0,550.0,735.0,202583.0
143,4733,51,47,20,18,38,0.8085106382978723,0.425531914893617,0.3829787234042553,60855076001,54.6,55.6,51.1,357.0,3.0,2.0,365.0,0.0,15.0,49.0,56.0,739.0,0.0,31.0,52.0,20.0,51.0,211.0,374.0,199500.0
144,5556,1648,1319,744,387,1131,0.8574677786201668,0.5640636846095527,0.2934040940106141,60855020021,36.6,32.1,42.3,241.0,24.0,31.0,98.0,2.0,213.0,143.0,157.0,537.0,0.0,59.0,220.0,81.0,71.0,27.0,79.0,
145,5556,1648,1319,744,387,1131,0.8574677786201668,0.5640636846095527,0.2934040940106141,60855020014,36.0,34.3,38.9,629.0,67.0,34.0,270.0,0.0,592.0,251.0,277.0,1168.0,66.0,39.0,122.0,360.0,41.0,388.0,152.0,96875.0
146,5557,1052,921,492,306,798,0.8664495114006515,0.5342019543973942,0.3322475570032573,60855020013,34.8,34.1,35.9,501.0,40.0,24.0,248.0,5.0,171.0,199.0,216.0,845.0,8.0,5.0,179.0,229.0,78.0,232.0,114.0,133182.0
147,5567,616,512,275,160,435,0.849609375,0.537109375,0.3125,60855021011,33.6,31.9,33.7,587.0,24.0,16.0,403.0,16.0,133.0,176.0,189.0,1206.0,12.0,33.0,63.0,104.0,121.0,628.0,245.0,116813.0
148,5567,616,512,275,160,435,0.849609375,0.537109375,0.3125,60855021012,40.9,30.9,56.3,436.0,33.0,5.0,210.0,2.0,67.0,114.0,126.0,741.0,7.0,20.0,149.0,145.0,62.0,195.0,163.0,111750.0
149,5742,18,17,3,6,9,0.5294117647058824,0.17647058823529413,0.35294117647058826,60855118003,49.7,48.6,50.0,853.0,10.0,8.0,85.0,0.0,52.0,119.0,132.0,858.0,0.0,6.0,140.0,140.0,83.0,203.0,286.0,108949.0
150,5743,587,527,312,148,460,0.872865275142315,0.5920303605313093,0.2808349146110057,60855118001,45.2,47.3,44.7,1459.0,13.0,9.0,121.0,4.0,50.0,173.0,185.0,1686.0,0.0,22.0,372.0,330.0,102.0,360.0,500.0,202813.0
151,5745,493,451,237,149,386,0.8558758314855875,0.5254988913525499,0.3303769401330377,60855118001,45.2,47.3,44.7,1459.0,13.0,9.0,121.0,4.0,50.0,173.0,185.0,1686.0,0.0,22.0,372.0,330.0,102.0,360.0,500.0,202813.0
152,5747,988,912,443,327,770,0.8442982456140351,0.4857456140350877,0.35855263157894735,60855117071,55.3,46.4,65.5,976.0,10.0,4.0,482.0,0.0,14.0,116.0,123.0,1611.0,15.0,9.0,227.0,139.0,35.0,523.0,663.0,127778.0
153,5748,1927,1742,934,507,1441,0.8272101033295063,0.5361653272101033,0.291044776119403,60855118001,45.2,47.3,44.7,1459.0,13.0,9.0,121.0,4.0,50.0,173.0,185.0,1686.0,0.0,22.0,372.0,330.0,102.0,360.0,500.0,202813.0
154,5756,103,88,47,28,75,0.8522727272727273,0.5340909090909091,0.3181818181818182,60855118003,49.7,48.6,50.0,853.0,10.0,8.0,85.0,0.0,52.0,119.0,132.0,858.0,0.0,6.0,140.0,140.0,83.0,203.0,286.0,108949.0
155,5758,187,171,70,69,139,0.8128654970760234,0.4093567251461988,0.40350877192982454,60855070012,,,,,,,,,,,,,,,,,,,,
156,5759,477,435,203,165,368,0.8459770114942529,0.4666666666666667,0.3793103448275862,60855073022,59.2,59.9,55.9,537.0,6.0,2.0,288.0,0.0,14.0,57.0,59.0,745.0,0.0,0.0,71.0,47.0,20.0,292.0,315.0,172826.0
157,5762,298,266,128,96,224,0.8421052631578947,0.48120300751879697,0.3609022556390977,60855070022,56.0,63.1,49.8,832.0,3.0,2.0,127.0,0.0,23.0,94.0,108.0,1086.0,0.0,6.0,59.0,71.0,26.0,420.0,504.0,250000.0
158,5762,298,266,128,96,224,0.8421052631578947,0.48120300751879697,0.3609022556390977,60855070012,,,,,,,,,,,,,,,,,,,,
159,5763,82,79,42,27,69,0.8734177215189873,0.5316455696202531,0.34177215189873417,60855070012,,,,,,,,,,,,,,,,,,,,
160,5770,181,165,69,76,145,0.8787878787878788,0.41818181818181815,0.46060606060606063,60855070012,,,,,,,,,,,,,,,,,,,,
161,5770,181,165,69,76,145,0.8787878787878788,0.41818181818181815,0.46060606060606063,60855072061,51.2,48.6,53.5,997.0,13.0,8.0,370.0,0.0,19.0,157.0,166.0,1066.0,0.0,17.0,81.0,180.0,55.0,391.0,342.0,250000.0
162,5775,373,323,157,113,270,0.8359133126934984,0.48606811145510836,0.3498452012383901,60855068013,44.4,45.8,44.0,1175.0,13.0,4.0,280.0,0.0,16.0,185.0,193.0,961.0,15.0,26.0,53.0,162.0,75.0,448.0,182.0,205284.0
163,5775,373,323,157,113,270,0.8359133126934984,0.48606811145510836,0.3498452012383901,60855068014,45.4,46.5,45.1,530.0,5.0,3.0,203.0,0.0,10.0,71.0,78.0,569.0,7.0,13.0,38.0,29.0,39.0,284.0,159.0,236979.0
164,5795,3,2,2,0,2,1.0,1.0,0.0,60855118003,49.7,48.6,50.0,853.0,10.0,8.0,85.0,0.0,52.0,119.0,132.0,858.0,0.0,6.0,140.0,140.0,83.0,203.0,286.0,108949.0
165,5804,1276,1134,560,363,923,0.8139329805996472,0.49382716049382713,0.3201058201058201,60855028003,43.9,40.6,47.2,708.0,8.0,15.0,266.0,1.0,58.0,127.0,137.0,773.0,0.0,29.0,168.0,105.0,15.0,286.0,170.0,216250.0
166,5810,415,381,171,117,288,0.7559055118110236,0.44881889763779526,0.30708661417322836,60855027023,,,,,,,,,,,,,,,,,,,,
167,5810,415,381,171,117,288,0.7559055118110236,0.44881889763779526,0.30708661417322836,60855027022,,,,,,,,,,,,,,,,,,,,
168,5811,327,290,111,121,232,0.8,0.38275862068965516,0.41724137931034483,60855027023,,,,,,,,,,,,,,,,,,,,
169,5813,60,54,28,19,47,0.8703703703703703,0.5185185185185185,0.35185185185185186,60855068024,43.7,43.4,44.6,332.0,4.0,4.0,224.0,0.0,35.0,62.0,76.0,380.0,0.0,16.0,27.0,140.0,33.0,112.0,52.0,102083.0
170,5814,263,231,114,70,184,0.7965367965367965,0.4935064935064935,0.30303030303030304,60855028001,44.5,45.0,43.6,829.0,38.0,12.0,278.0,3.0,111.0,197.0,210.0,827.0,26.0,9.0,190.0,159.0,41.0,264.0,138.0,152333.0
171,5854,2,2,1,1,2,1.0,0.5,0.5,60855119111,41.4,41.3,41.5,1185.0,180.0,16.0,514.0,1.0,77.0,178.0,189.0,1488.0,0.0,21.0,289.0,232.0,77.0,609.0,260.0,104565.0
172,5854,2,2,1,1,2,1.0,0.5,0.5,60855119113,55.4,56.6,49.9,992.0,15.0,3.0,553.0,1.0,20.0,171.0,186.0,1469.0,19.0,6.0,190.0,203.0,71.0,598.0,382.0,202349.0
173,5901,1,0,0,0,0,,,,60855119091,,,,,,,,,,,,,,,,,,,,
174,5902,496,457,201,173,374,0.8183807439824945,0.43982494529540483,0.3785557986870897,60855119113,55.4,56.6,49.9,992.0,15.0,3.0,553.0,1.0,20.0,171.0,186.0,1469.0,19.0,6.0,190.0,203.0,71.0,598.0,382.0,202349.0
175,5903,679,589,257,240,497,0.8438030560271647,0.4363327674023769,0.4074702886247878,60855119112,52.3,49.0,53.5,613.0,14.0,12.0,101.0,7.0,47.0,142.0,159.0,772.0,28.0,49.0,116.0,245.0,62.0,168.0,104.0,122768.0
176,5907,9,8,2,6,8,1.0,0.25,0.75,60855118003,49.7,48.6,50.0,853.0,10.0,8.0,85.0,0.0,52.0,119.0,132.0,858.0,0.0,6.0,140.0,140.0,83.0,203.0,286.0,108949.0
177,5927,1,1,0,1,1,1.0,0.0,1.0,60855119112,52.3,49.0,53.5,613.0,14.0,12.0,101.0,7.0,47.0,142.0,159.0,772.0,28.0,49.0,116.0,245.0,62.0,168.0,104.0,122768.0
178,5927,1,1,0,1,1,1.0,0.0,1.0,60855121001,42.5,39.9,43.5,672.0,11.0,22.0,310.0,1.0,441.0,278.0,298.0,957.0,49.0,16.0,250.0,252.0,62.0,231.0,97.0,85000.0
179,6023,18,13,5,6,11,0.8461538461538461,0.38461538461538464,0.46153846153846156,60855119112,52.3,49.0,53.5,613.0,14.0,12.0,101.0,7.0,47.0,142.0,159.0,772.0,28.0,49.0,116.0,245.0,62.0,168.0,104.0,122768.0
180,6624,7,7,3,4,7,1.0,0.42857142857142855,0.5714285714285714,60855077023,43.8,48.1,43.2,556.0,4.0,4.0,1643.0,0.0,23.0,107.0,121.0,1554.0,15.0,0.0,158.0,109.0,62.0,443.0,767.0,250000.0
181,6625,5,5,5,0,5,1.0,1.0,0.0,60855076001,54.6,55.6,51.1,357.0,3.0,2.0,365.0,0.0,15.0,49.0,56.0,739.0,0.0,31.0,52.0,20.0,51.0,211.0,374.0,199500.0
182,6669,85,77,39,31,70,0.9090909090909091,0.5064935064935064,0.4025974025974026,60855117071,55.3,46.4,65.5,976.0,10.0,4.0,482.0,0.0,14.0,116.0,123.0,1611.0,15.0,9.0,227.0,139.0,35.0,523.0,663.0,127778.0
183,6669,85,77,39,31,70,0.9090909090909091,0.5064935064935064,0.4025974025974026,60855073021,46.8,49.4,44.3,1105.0,6.0,0.0,684.0,3.0,28.0,147.0,151.0,1310.0,10.0,0.0,64.0,107.0,80.0,486.0,563.0,250000.0
184,6678,61,55,21,30,51,0.9272727272727272,0.38181818181818183,0.5454545454545454,60855076001,54.6,55.6,51.1,357.0,3.0,2.0,365.0,0.0,15.0,49.0,56.0,739.0,0.0,31.0,52.0,20.0,51.0,211.0,374.0,199500.0
185,6678,61,55,21,30,51,0.9272727272727272,0.38181818181818183,0.5454545454545454,60855117071,55.3,46.4,65.5,976.0,10.0,4.0,482.0,0.0,14.0,116.0,123.0,1611.0,15.0,9.0,227.0,139.0,35.0,523.0,663.0,127778.0
186,7001,2136,1757,826,614,1440,0.819578827546955,0.4701195219123506,0.3494593056346044,60855080043,34.0,34.1,32.8,477.0,28.0,2.0,1745.0,2.0,67.0,134.0,147.0,1248.0,36.0,15.0,19.0,239.0,164.0,373.0,402.0,131375.0
187,7001,2136,1757,826,614,1440,0.819578827546955,0.4701195219123506,0.3494593056346044,60855062032,32.8,29.7,34.6,320.0,48.0,4.0,2293.0,3.0,158.0,113.0,116.0,309.0,0.0,0.0,0.0,45.0,33.0,176.0,55.0,138611.0
188,7005,2719,2229,1167,708,1875,0.8411843876177658,0.5235531628532974,0.31763122476446837,60855062031,27.4,25.7,32.7,314.0,51.0,17.0,1035.0,2.0,208.0,97.0,103.0,911.0,0.0,175.0,132.0,263.0,52.0,168.0,121.0,131625.0
189,7012,2078,1817,830,741,1571,0.8646119977985691,0.45679691799669786,0.4078150798018712,60855062041,38.9,43.0,36.2,576.0,45.0,12.0,1466.0,5.0,188.0,228.0,243.0,1119.0,3.0,29.0,149.0,255.0,231.0,270.0,182.0,116932.0
190,7014,2416,2116,1044,790,1834,0.8667296786389413,0.4933837429111531,0.3733459357277883,60855062044,53.9,53.6,54.1,423.0,9.0,2.0,948.0,3.0,47.0,90.0,103.0,947.0,35.0,30.0,71.0,61.0,11.0,316.0,423.0,234250.0
191,7019,3976,3318,1615,1215,2830,0.8529234478601567,0.48673899939722726,0.36618444846292947,60855063042,34.1,34.0,34.2,274.0,25.0,12.0,327.0,13.0,60.0,105.0,133.0,250.0,0.0,0.0,36.0,82.0,0.0,22.0,110.0,153750.0
192,7019,3976,3318,1615,1215,2830,0.8529234478601567,0.48673899939722726,0.36618444846292947,60855063043,31.2,29.0,34.0,534.0,83.0,13.0,1016.0,32.0,279.0,156.0,165.0,847.0,0.0,0.0,147.0,70.0,161.0,249.0,220.0,109189.0
193,7025,3425,2790,1512,902,2414,0.8652329749103943,0.5419354838709678,0.3232974910394265,60855064011,29.8,30.3,27.9,343.0,25.0,3.0,220.0,1.0,45.0,67.0,71.0,379.0,0.0,8.0,0.0,28.0,19.0,128.0,196.0,183694.0
194,7038,321,296,135,120,255,0.8614864864864865,0.4560810810810811,0.40540540540540543,60855079042,49.3,49.9,48.4,377.0,1.0,3.0,1116.0,3.0,12.0,71.0,77.0,963.0,0.0,8.0,67.0,84.0,26.0,298.0,480.0,229313.0
195,7038,321,296,135,120,255,0.8614864864864865,0.4560810810810811,0.40540540540540543,60855079041,41.0,42.4,40.8,331.0,3.0,4.0,1381.0,5.0,14.0,66.0,77.0,924.0,16.0,15.0,42.0,73.0,31.0,280.0,467.0,207981.0
196,7041,3457,2862,1387,1003,2390,0.8350803633822502,0.48462613556953177,0.3504542278127184,60855063053,38.6,41.0,34.6,520.0,208.0,35.0,518.0,4.0,217.0,159.0,161.0,868.0,0.0,90.0,95.0,351.0,68.0,159.0,105.0,69479.0
197,7044,2098,1749,872,582,1454,0.8313321898227558,0.4985706117781589,0.33276157804459694,60855063054,36.8,35.7,38.1,557.0,213.0,33.0,351.0,8.0,632.0,224.0,233.0,1033.0,48.0,41.0,213.0,363.0,113.0,129.0,126.0,90266.0
198,7044,2098,1749,872,582,1454,0.8313321898227558,0.4985706117781589,0.33276157804459694,60855063052,35.1,32.3,41.0,495.0,96.0,52.0,634.0,24.0,867.0,330.0,341.0,1380.0,36.0,92.0,342.0,349.0,125.0,341.0,95.0,79583.0
199,7044,2098,1749,872,582,1454,0.8313321898227558,0.4985706117781589,0.33276157804459694,60855063051,27.5,22.3,35.2,263.0,37.0,22.0,259.0,9.0,342.0,118.0,126.0,763.0,44.0,62.0,81.0,131.0,47.0,302.0,96.0,80345.0
200,7046,3396,2780,1464,971,2435,0.8758992805755396,0.5266187050359712,0.34928057553956837,60855063022,34.3,34.7,34.1,823.0,45.0,14.0,673.0,9.0,180.0,190.0,216.0,1863.0,246.0,103.0,291.0,432.0,224.0,349.0,218.0,138182.0
201,7059,549,455,236,157,393,0.8637362637362638,0.5186813186813187,0.34505494505494505,60855079042,49.3,49.9,48.4,377.0,1.0,3.0,1116.0,3.0,12.0,71.0,77.0,963.0,0.0,8.0,67.0,84.0,26.0,298.0,480.0,229313.0
202,7061,2225,1985,1043,674,1717,0.8649874055415617,0.52544080604534,0.3395465994962217,60855062023,47.2,38.9,58.8,464.0,31.0,2.0,628.0,6.0,80.0,56.0,59.0,734.0,60.0,25.0,207.0,166.0,41.0,122.0,113.0,81319.0
203,7062,2982,2549,1250,898,2148,0.8426834052569635,0.49038838760298153,0.35229501765398197,60855062022,42.0,43.0,41.2,907.0,64.0,11.0,1208.0,7.0,103.0,181.0,196.0,1409.0,64.0,0.0,314.0,71.0,117.0,497.0,346.0,155020.0
204,7079,2131,1912,931,675,1606,0.8399581589958159,0.4869246861924686,0.3530334728033473,60855066045,41.2,41.0,41.2,629.0,118.0,4.0,633.0,0.0,105.0,142.0,167.0,824.0,6.0,34.0,74.0,138.0,83.0,276.0,213.0,171333.0
205,7079,2131,1912,931,675,1606,0.8399581589958159,0.4869246861924686,0.3530334728033473,60855066042,37.1,37.7,36.1,826.0,24.0,18.0,703.0,0.0,58.0,188.0,203.0,1102.0,0.0,0.0,116.0,156.0,71.0,483.0,276.0,245234.0
206,7079,2131,1912,931,675,1606,0.8399581589958159,0.4869246861924686,0.3530334728033473,60855066043,37.2,34.5,40.2,739.0,13.0,5.0,718.0,2.0,52.0,143.0,157.0,1067.0,0.0,0.0,191.0,181.0,54.0,470.0,171.0,168092.0
207,7081,1922,1734,880,605,1485,0.856401384083045,0.5074971164936563,0.3489042675893887,60855066033,33.6,29.1,43.1,555.0,17.0,5.0,524.0,4.0,70.0,128.0,135.0,885.0,9.0,0.0,84.0,132.0,101.0,457.0,102.0,221750.0
208,7089,1362,1214,611,413,1024,0.8434925864909391,0.5032948929159803,0.3401976935749588,60855066044,41.9,53.3,33.2,672.0,6.0,4.0,708.0,0.0,22.0,171.0,183.0,761.0,0.0,17.0,53.0,115.0,47.0,289.0,240.0,250000.0
209,8003,2865,2535,1345,853,2198,0.867061143984221,0.5305719921104537,0.33648915187376727,60855058004,39.6,41.1,38.9,690.0,14.0,3.0,192.0,4.0,73.0,146.0,155.0,1094.0,0.0,10.0,171.0,314.0,27.0,273.0,299.0,228333.0
210,8003,2865,2535,1345,853,2198,0.867061143984221,0.5305719921104537,0.33648915187376727,60855058003,40.6,40.7,40.6,479.0,3.0,7.0,172.0,6.0,63.0,119.0,127.0,625.0,0.0,20.0,68.0,159.0,76.0,159.0,143.0,106250.0
211,8011,492,437,244,131,375,0.8581235697940504,0.5583524027459954,0.2997711670480549,60855005004,42.2,46.8,28.8,541.0,16.0,9.0,161.0,2.0,90.0,98.0,106.0,552.0,0.0,0.0,65.0,51.0,41.0,230.0,165.0,200536.0
212,8011,492,437,244,131,375,0.8581235697940504,0.5583524027459954,0.2997711670480549,60855005005,56.0,44.8,64.0,377.0,24.0,13.0,129.0,5.0,110.0,280.0,304.0,961.0,8.0,69.0,169.0,125.0,21.0,250.0,319.0,101314.0
213,8012,16,17,8,7,15,0.8823529411764706,0.47058823529411764,0.4117647058823529,60855005005,56.0,44.8,64.0,377.0,24.0,13.0,129.0,5.0,110.0,280.0,304.0,961.0,8.0,69.0,169.0,125.0,21.0,250.0,319.0,101314.0
214,8013,109,84,38,31,69,0.8214285714285714,0.4523809523809524,0.36904761904761907,60855005005,56.0,44.8,64.0,377.0,24.0,13.0,129.0,5.0,110.0,280.0,304.0,961.0,8.0,69.0,169.0,125.0,21.0,250.0,319.0,101314.0
215,8030,1148,945,456,322,778,0.8232804232804233,0.48253968253968255,0.34074074074074073,60855064012,29.2,28.5,30.3,419.0,93.0,32.0,357.0,0.0,416.0,169.0,172.0,971.0,30.0,12.0,283.0,309.0,43.0,139.0,155.0,81884.0
216,8033,282,236,119,72,191,0.809322033898305,0.5042372881355932,0.3050847457627119,60855020012,35.4,41.4,32.6,255.0,14.0,12.0,191.0,1.0,144.0,39.0,54.0,723.0,56.0,37.0,91.0,178.0,1.0,258.0,102.0,86071.0
217,8033,282,236,119,72,191,0.809322033898305,0.5042372881355932,0.3050847457627119,60855020013,34.8,34.1,35.9,501.0,40.0,24.0,248.0,5.0,171.0,199.0,216.0,845.0,8.0,5.0,179.0,229.0,78.0,232.0,114.0,133182.0
218,8034,290,205,121,57,178,0.8682926829268293,0.5902439024390244,0.2780487804878049,60855020012,35.4,41.4,32.6,255.0,14.0,12.0,191.0,1.0,144.0,39.0,54.0,723.0,56.0,37.0,91.0,178.0,1.0,258.0,102.0,86071.0
219,8034,290,205,121,57,178,0.8682926829268293,0.5902439024390244,0.2780487804878049,60855020011,34.0,28.8,36.0,368.0,42.0,24.0,129.0,5.0,470.0,218.0,227.0,834.0,112.0,54.0,228.0,84.0,159.0,130.0,67.0,
220,8040,630,515,310,148,458,0.8893203883495145,0.6019417475728155,0.287378640776699,60855020023,31.5,29.3,35.4,619.0,79.0,38.0,270.0,8.0,1051.0,401.0,425.0,1615.0,151.0,60.0,313.0,384.0,110.0,402.0,195.0,90848.0
221,8040,630,515,310,148,458,0.8893203883495145,0.6019417475728155,0.287378640776699,60855020021,36.6,32.1,42.3,241.0,24.0,31.0,98.0,2.0,213.0,143.0,157.0,537.0,0.0,59.0,220.0,81.0,71.0,27.0,79.0,
222,8047,2162,1882,993,624,1617,0.859192348565356,0.5276301806588736,0.33156216790648246,60855021011,33.6,31.9,33.7,587.0,24.0,16.0,403.0,16.0,133.0,176.0,189.0,1206.0,12.0,33.0,63.0,104.0,121.0,628.0,245.0,116813.0
223,8049,59,44,23,11,34,0.7727272727272727,0.5227272727272727,0.25,60855021021,,,,,,,,,,,,,,,,,,,,
