Block Group,Median household income
"Block Group 1, Census Tract 5028, Santa Clara County, California",152333
"Block Group 3, Census Tract 5028, Santa Clara County, California",216250
"Block Group 3, Census Tract 5068.01, Santa Clara County, California",205284
"Block Group 4, Census Tract 5068.01, Santa Clara County, California",236979
"Block Group 4, Census Tract 5068.02, Santa Clara County, California",102083
"Block Group 2, Census Tract 5070.02, Santa Clara County, California",250000
"Block Group 1, Census Tract 5072.06, Santa Clara County, California",250000
"Block Group 2, Census Tract 5073.02, Santa Clara County, California",172826
"Block Group 2, Census Tract 5074.01, Santa Clara County, California",220329
"Block Group 3, Census Tract 5074.01, Santa Clara County, California",209792
"Block Group 3, Census Tract 5074.02, Santa Clara County, California",147708
"Block Group 1, Census Tract 5076, Santa Clara County, California",199500
"Block Group 2, Census Tract 5076, Santa Clara County, California",250000
"Block Group 3, Census Tract 5076, Santa Clara County, California",250000
"Block Group 4, Census Tract 5076, Santa Clara County, California",202583
"Block Group 1, Census Tract 5117.07, Santa Clara County, California",127778
"Block Group 1, Census Tract 5118, Santa Clara County, California",202813
"Block Group 3, Census Tract 5118, Santa Clara County, California",108949
"Block Group 1, Census Tract 5119.11, Santa Clara County, California",104565
"Block Group 2, Census Tract 5119.11, Santa Clara County, California",122768
"Block Group 3, Census Tract 5119.11, Santa Clara County, California",202349
"Block Group 1, Census Tract 5121, Santa Clara County, California",85000
"Block Group 4, Census Tract 5005, Santa Clara County, California",200536
"Block Group 5, Census Tract 5005, Santa Clara County, California",101314
"Block Group 1, Census Tract 5020.01, Santa Clara County, California",
"Block Group 2, Census Tract 5020.01, Santa Clara County, California",86071
"Block Group 3, Census Tract 5020.01, Santa Clara County, California",133182
"Block Group 1, Census Tract 5020.02, Santa Clara County, California",
"Block Group 3, Census Tract 5020.02, Santa Clara County, California",90848
"Block Group 1, Census Tract 5021.01, Santa Clara County, California",116813
"Block Group 2, Census Tract 5023.02, Santa Clara County, California",96071
"Block Group 1, Census Tract 5026.04, Santa Clara County, California",120854
"Block Group 1, Census Tract 5027.01, Santa Clara County, California",99537
"Block Group 3, Census Tract 5027.01, Santa Clara County, California",124688
"Block Group 2, Census Tract 5028, Santa Clara County, California",143942
"Block Group 3, Census Tract 5028, Santa Clara County, California",216250
"Block Group 2, Census Tract 5029.01, Santa Clara County, California",197893
"Block Group 3, Census Tract 5029.01, Santa Clara County, California",177216
"Block Group 4, Census Tract 5029.01, Santa Clara County, California",84565
"Block Group 1, Census Tract 5029.02, Santa Clara County, California",183203
"Block Group 2, Census Tract 5029.02, Santa Clara County, California",153839
"Block Group 3, Census Tract 5029.02, Santa Clara County, California",145804
"Block Group 3, Census Tract 5030.03, Santa Clara County, California",136705
"Block Group 3, Census Tract 5058, Santa Clara County, California",106250
"Block Group 4, Census Tract 5058, Santa Clara County, California",228333
"Block Group 2, Census Tract 5062.02, Santa Clara County, California",155020
"Block Group 3, Census Tract 5062.02, Santa Clara County, California",81319
"Block Group 1, Census Tract 5062.03, Santa Clara County, California",131625
"Block Group 2, Census Tract 5062.03, Santa Clara County, California",138611
"Block Group 1, Census Tract 5062.04, Santa Clara County, California",116932
"Block Group 4, Census Tract 5062.04, Santa Clara County, California",234250
"Block Group 2, Census Tract 5063.02, Santa Clara County, California",138182
"Block Group 2, Census Tract 5063.04, Santa Clara County, California",153750
"Block Group 3, Census Tract 5063.04, Santa Clara County, California",109189
"Block Group 1, Census Tract 5063.05, Santa Clara County, California",80345
"Block Group 2, Census Tract 5063.05, Santa Clara County, California",79583
"Block Group 3, Census Tract 5063.05, Santa Clara County, California",69479
"Block Group 4, Census Tract 5063.05, Santa Clara County, California",90266
"Block Group 1, Census Tract 5064.01, Santa Clara County, California",183694
"Block Group 2, Census Tract 5064.01, Santa Clara County, California",81884
"Block Group 3, Census Tract 5066.03, Santa Clara County, California",221750
"Block Group 2, Census Tract 5066.04, Santa Clara County, California",245234
"Block Group 3, Census Tract 5066.04, Santa Clara County, California",168092
"Block Group 4, Census Tract 5066.04, Santa Clara County, California",250000
"Block Group 5, Census Tract 5066.04, Santa Clara County, California",171333
"Block Group 2, Census Tract 5068.01, Santa Clara County, California",102353
"Block Group 1, Census Tract 5073.02, Santa Clara County, California",250000
"Block Group 1, Census Tract 5076, Santa Clara County, California",199500
"Block Group 3, Census Tract 5077.02, Santa Clara County, California",250000
"Block Group 1, Census Tract 5079.04, Santa Clara County, California",207981
"Block Group 2, Census Tract 5079.04, Santa Clara County, California",229313
"Block Group 3, Census Tract 5080.04, Santa Clara County, California",131375
"Block Group 1, Census Tract 5117.07, Santa Clara County, California",127778
"Block Group 1, Census Tract 5028, Santa Clara County, California",152333
