Block Group,White,Black,Indian and Alaska,Asian,Pacific,Other,Two races,Two or more
"Block Group 1, Census Tract 5065.02, Santa Clara County, California",942,17,3,232,0,107,194,200
"Block Group 2, Census Tract 5065.02, Santa Clara County, California",563,21,7,119,1,80,112,127
"Block Group 3, Census Tract 5065.02, Santa Clara County, California",1368,62,14,443,3,130,268,284
"Block Group 2, Census Tract 5065.03, Santa Clara County, California",1131,36,17,508,6,101,260,291
"Block Group 3, Census Tract 5065.03, Santa Clara County, California",1004,118,46,318,18,490,318,330
"Block Group 5, Census Tract 5066.04, Santa Clara County, California",629,118,4,633,0,105,142,167
"Block Group 1, Census Tract 5066.05, Santa Clara County, California",817,53,32,867,8,361,247,267
"Block Group 2, Census Tract 5066.05, Santa Clara County, California",717,62,28,623,4,230,233,251
"Block Group 2, Census Tract 5066.06, Santa Clara County, California",935,31,11,702,6,169,208,217
"Block Group 2, Census Tract 5067.01, Santa Clara County, California",689,63,7,714,3,85,183,202
"Block Group 3, Census Tract 5067.01, Santa Clara County, California",925,15,3,478,2,29,175,186
"Block Group 1, Census Tract 5067.03, Santa Clara County, California",1036,17,14,440,13,84,211,229
"Block Group 3, Census Tract 5068.01, Santa Clara County, California",1175,13,4,280,0,16,185,193
"Block Group 4, Census Tract 5068.01, Santa Clara County, California",530,5,3,203,0,10,71,78
"Block Group 4, Census Tract 5068.02, Santa Clara County, California",332,4,4,224,0,35,62,76
"Block Group 2, Census Tract 5070.02, Santa Clara County, California",832,3,2,127,0,23,94,108
"Block Group 1, Census Tract 5072.06, Santa Clara County, California",997,13,8,370,0,19,157,166
"Block Group 2, Census Tract 5072.06, Santa Clara County, California",958,9,0,211,2,24,145,151
"Block Group 5, Census Tract 5073.01, Santa Clara County, California",872,0,1,558,5,17,124,144
"Block Group 6, Census Tract 5073.01, Santa Clara County, California",668,3,4,560,1,9,47,52
"Block Group 2, Census Tract 5073.02, Santa Clara County, California",537,6,2,288,0,14,57,59
"Block Group 1, Census Tract 5074.01, Santa Clara County, California",247,10,5,908,3,11,36,37
"Block Group 2, Census Tract 5074.01, Santa Clara County, California",315,6,2,788,4,15,60,65
"Block Group 3, Census Tract 5074.01, Santa Clara County, California",400,1,1,919,3,17,72,84
"Block Group 2, Census Tract 5074.02, Santa Clara County, California",624,7,0,349,0,14,83,86
"Block Group 3, Census Tract 5074.02, Santa Clara County, California",581,11,0,724,4,15,84,95
"Block Group 1, Census Tract 5075, Santa Clara County, California",523,2,0,1291,0,12,97,102
"Block Group 2, Census Tract 5075, Santa Clara County, California",393,3,3,934,2,6,81,87
"Block Group 3, Census Tract 5075, Santa Clara County, California",371,3,0,778,1,11,54,58
"Block Group 4, Census Tract 5075, Santa Clara County, California",357,2,0,971,0,8,63,66
"Block Group 1, Census Tract 5076, Santa Clara County, California",357,3,2,365,0,15,49,56
"Block Group 2, Census Tract 5076, Santa Clara County, California",428,4,5,741,1,9,85,92
"Block Group 3, Census Tract 5076, Santa Clara County, California",563,4,0,1124,0,10,77,83
"Block Group 4, Census Tract 5076, Santa Clara County, California",829,6,3,1002,0,18,85,95
"Block Group 1, Census Tract 5094.01, Santa Clara County, California",633,47,22,558,1,176,116,121
"Block Group 2, Census Tract 5097, Santa Clara County, California",415,8,1,328,2,77,105,111
"Block Group 3, Census Tract 5097, Santa Clara County, California",690,14,2,297,1,60,119,131
"Block Group 4, Census Tract 5098.01, Santa Clara County, California",918,17,1,524,2,35,197,205
"Block Group 1, Census Tract 5098.02, Santa Clara County, California",642,25,16,587,4,84,181,184
"Block Group 1, Census Tract 5117.07, Santa Clara County, California",976,10,4,482,0,14,116,123
"Block Group 1, Census Tract 5118, Santa Clara County, California",1459,13,9,121,4,50,173,185
"Block Group 3, Census Tract 5118, Santa Clara County, California",853,10,8,85,0,52,119,132
"Block Group 1, Census Tract 5119.11, Santa Clara County, California",1185,180,16,514,1,77,178,189
"Block Group 2, Census Tract 5119.11, Santa Clara County, California",613,14,12,101,7,47,142,159
"Block Group 3, Census Tract 5119.11, Santa Clara County, California",992,15,3,553,1,20,171,186
"Block Group 1, Census Tract 5121, Santa Clara County, California",672,11,22,310,1,441,278,298
"Block Group 4, Census Tract 5005, Santa Clara County, California",541,16,9,161,2,90,98,106
"Block Group 5, Census Tract 5005, Santa Clara County, California",377,24,13,129,5,110,280,304
"Block Group 1, Census Tract 5020.01, Santa Clara County, California",368,42,24,129,5,470,218,227
"Block Group 2, Census Tract 5020.01, Santa Clara County, California",255,14,12,191,1,144,39,54
"Block Group 3, Census Tract 5020.01, Santa Clara County, California",501,40,24,248,5,171,199,216
"Block Group 1, Census Tract 5020.02, Santa Clara County, California",241,24,31,98,2,213,143,157
"Block Group 3, Census Tract 5020.02, Santa Clara County, California",619,79,38,270,8,1051,401,425
"Block Group 1, Census Tract 5021.01, Santa Clara County, California",587,24,16,403,16,133,176,189
"Block Group 2, Census Tract 5023.02, Santa Clara County, California",719,52,20,249,8,351,233,257
"Block Group 1, Census Tract 5026.04, Santa Clara County, California",656,74,10,290,12,142,170,185
"Block Group 1, Census Tract 5027.01, Santa Clara County, California",921,45,14,321,0,126,158,176
"Block Group 3, Census Tract 5027.01, Santa Clara County, California",688,94,28,277,0,358,226,262
"Block Group 1, Census Tract 5028, Santa Clara County, California",829,38,12,278,3,111,197,210
"Block Group 2, Census Tract 5028, Santa Clara County, California",773,10,16,621,1,143,165,184
"Block Group 3, Census Tract 5028, Santa Clara County, California",708,8,15,266,1,58,127,137
"Block Group 2, Census Tract 5029.01, Santa Clara County, California",865,24,14,456,2,98,218,234
"Block Group 3, Census Tract 5029.01, Santa Clara County, California",572,22,7,264,2,94,146,162
"Block Group 4, Census Tract 5029.01, Santa Clara County, California",1004,72,15,399,12,211,224,233
"Block Group 1, Census Tract 5029.02, Santa Clara County, California",1515,24,4,427,3,57,278,309
"Block Group 2, Census Tract 5029.02, Santa Clara County, California",1572,38,34,477,6,148,421,450
"Block Group 3, Census Tract 5029.02, Santa Clara County, California",1413,47,20,719,6,191,368,404
"Block Group 2, Census Tract 5029.06, Santa Clara County, California",941,37,28,405,10,140,215,229
"Block Group 2, Census Tract 5029.08, Santa Clara County, California",1296,66,26,958,6,249,296,316
"Block Group 3, Census Tract 5029.08, Santa Clara County, California",957,19,13,462,4,136,212,233
"Block Group 2, Census Tract 5029.09, Santa Clara County, California",554,7,18,142,3,56,151,156
"Block Group 3, Census Tract 5030.03, Santa Clara County, California",880,22,5,394,4,179,247,263
"Block Group 3, Census Tract 5058, Santa Clara County, California",479,3,7,172,6,63,119,127
"Block Group 4, Census Tract 5058, Santa Clara County, California",690,14,3,192,4,73,146,155
"Block Group 2, Census Tract 5062.02, Santa Clara County, California",907,64,11,1208,7,103,181,196
"Block Group 3, Census Tract 5062.02, Santa Clara County, California",464,31,2,628,6,80,56,59
"Block Group 1, Census Tract 5062.03, Santa Clara County, California",314,51,17,1035,2,208,97,103
"Block Group 2, Census Tract 5062.03, Santa Clara County, California",320,48,4,2293,3,158,113,116
"Block Group 1, Census Tract 5062.04, Santa Clara County, California",576,45,12,1466,5,188,228,243
"Block Group 4, Census Tract 5062.04, Santa Clara County, California",423,9,2,948,3,47,90,103
"Block Group 2, Census Tract 5063.02, Santa Clara County, California",823,45,14,673,9,180,190,216
"Block Group 2, Census Tract 5063.04, Santa Clara County, California",274,25,12,327,13,60,105,133
"Block Group 3, Census Tract 5063.04, Santa Clara County, California",534,83,13,1016,32,279,156,165
"Block Group 1, Census Tract 5063.05, Santa Clara County, California",263,37,22,259,9,342,118,126
"Block Group 2, Census Tract 5063.05, Santa Clara County, California",495,96,52,634,24,867,330,341
"Block Group 3, Census Tract 5063.05, Santa Clara County, California",520,208,35,518,4,217,159,161
"Block Group 4, Census Tract 5063.05, Santa Clara County, California",557,213,33,351,8,632,224,233
"Block Group 1, Census Tract 5064.01, Santa Clara County, California",343,25,3,220,1,45,67,71
"Block Group 2, Census Tract 5064.01, Santa Clara County, California",419,93,32,357,0,416,169,172
"Block Group 3, Census Tract 5066.03, Santa Clara County, California",555,17,5,524,4,70,128,135
"Block Group 2, Census Tract 5066.04, Santa Clara County, California",826,24,18,703,0,58,188,203
"Block Group 3, Census Tract 5066.04, Santa Clara County, California",739,13,5,718,2,52,143,157
"Block Group 4, Census Tract 5066.04, Santa Clara County, California",672,6,4,708,0,22,171,183
"Block Group 5, Census Tract 5066.04, Santa Clara County, California",629,118,4,633,0,105,142,167
"Block Group 2, Census Tract 5068.01, Santa Clara County, California",996,27,8,427,4,43,197,212
"Block Group 1, Census Tract 5068.02, Santa Clara County, California",938,14,2,372,0,49,166,182
"Block Group 2, Census Tract 5068.02, Santa Clara County, California",789,10,6,269,0,44,131,141
"Block Group 3, Census Tract 5068.02, Santa Clara County, California",513,4,12,214,0,45,104,118
"Block Group 4, Census Tract 5068.02, Santa Clara County, California",332,4,4,224,0,35,62,76
"Block Group 5, Census Tract 5068.02, Santa Clara County, California",532,9,7,397,2,55,128,134
"Block Group 2, Census Tract 5068.03, Santa Clara County, California",795,8,4,382,5,32,109,120
"Block Group 3, Census Tract 5068.03, Santa Clara County, California",1208,93,34,709,6,502,307,328
"Block Group 4, Census Tract 5068.03, Santa Clara County, California",581,30,25,322,3,94,113,135
"Block Group 1, Census Tract 5073.02, Santa Clara County, California",1105,6,0,684,3,28,147,151
"Block Group 1, Census Tract 5076, Santa Clara County, California",357,3,2,365,0,15,49,56
"Block Group 3, Census Tract 5077.02, Santa Clara County, California",556,4,4,1643,0,23,107,121
"Block Group 1, Census Tract 5079.04, Santa Clara County, California",331,3,4,1381,5,14,66,77
"Block Group 2, Census Tract 5079.04, Santa Clara County, California",377,1,3,1116,3,12,71,77
"Block Group 3, Census Tract 5080.04, Santa Clara County, California",477,28,2,1745,2,67,134,147
"Block Group 1, Census Tract 5117.07, Santa Clara County, California",976,10,4,482,0,14,116,123
"Block Group 1, Census Tract 5119.15, Santa Clara County, California",622,32,28,390,6,60,159,181
"Block Group 1, Census Tract 5119.16, Santa Clara County, California",953,54,17,496,13,252,311,336
"Block Group 2, Census Tract 5119.16, Santa Clara County, California",1305,19,12,1026,3,88,246,262
"Block Group 2, Census Tract 5120.24, Santa Clara County, California",679,91,10,402,5,204,219,242
"Block Group 1, Census Tract 5120.27, Santa Clara County, California",842,81,16,312,3,315,217,233
"Block Group 1, Census Tract 5119.07, Santa Clara County, California",599,9,2,726,0,48,156,165
"Block Group 2, Census Tract 5119.07, Santa Clara County, California",1024,30,8,1177,1,48,178,196
"Block Group 1, Census Tract 5119.10, Santa Clara County, California",641,1,0,293,3,20,105,111
"Block Group 1, Census Tract 5119.11, Santa Clara County, California",1185,180,16,514,1,77,178,189
"Block Group 3, Census Tract 5119.11, Santa Clara County, California",992,15,3,553,1,20,171,186
"Block Group 1, Census Tract 5119.13, Santa Clara County, California",775,8,7,338,1,25,133,138
"Block Group 2, Census Tract 5119.13, Santa Clara County, California",897,15,12,346,0,39,153,170
"Block Group 3, Census Tract 5119.13, Santa Clara County, California",927,7,2,398,2,40,175,189
"Block Group 3, Census Tract 5119.14, Santa Clara County, California",879,25,3,527,2,76,180,201
"Block Group 2, Census Tract 5119.15, Santa Clara County, California",241,79,61,100,3,639,173,186
"Block Group 1, Census Tract 5120.52, Santa Clara County, California",486,34,4,137,4,80,122,143
