County,Registered Voters,Ballots Cast,Voter Turnout
5915,1049,923,0.8799
5916,91,81,0.8901
5917,296,254,0.8581
5919,413,349,0.845
5922,628,530,0.8439
5925,94,81,0.8617
5927,1,1,1
5929,159,135,0.8491
5931,160,140,0.875
5936,506,426,0.8419
5940,59,53,0.8983
5947,575,505,0.8783
5949,685,531,0.7752
5950,159,137,0.8616
5951,6,7,1.1667
5955,1347,1154,0.8567
5956,1192,1055,0.8851
5957,152,125,0.8224
5958,943,798,0.8462
5959,103,81,0.7864
5965,1280,1086,0.8484
5966,241,190,0.7884
5975,57,36,0.6316
5988,2,0,0
6023,18,13,0.7222
6028,73,60,0.8219
6031,35,28,0.8
6035,0,0,0
6036,0,0,0
6048,24,21,0.875
6401,1,0,0
6402,100,93,0.93
6404,2921,2530,0.8661
6405,11,10,0.9091
6410,110,95,0.8636
6413,10,9,0.9
6418,868,765,0.8813
6419,64,59,0.9219
6423,59,53,0.8983
6452,1297,945,0.7286
6454,301,247,0.8206
6455,3400,2658,0.7818
6491,28,24,0.8571
6502,376,288,0.766
6509,23,15,0.6522
6510,38,35,0.9211
6511,152,130,0.8553
6515,129,109,0.845
6624,7,7,1
6625,5,5,1
6669,85,77,0.9059
6678,61,55,0.9016
7001,2136,1757,0.8226
7005,2719,2229,0.8198
7011,378,321,0.8492
7012,2078,1817,0.8744
7014,2416,2116,0.8758
7019,3976,3318,0.8345
7025,3425,2790,0.8146
7028,3142,2697,0.8584
7032,4060,3580,0.8818
7036,3701,3293,0.8898
7038,321,296,0.9221
7041,3457,2862,0.8279
7044,2098,1749,0.8337
7046,3396,2780,0.8186
7051,0,0,0
7059,549,455,0.8288
7061,2225,1985,0.8921
7062,2982,2549,0.8548
7079,2131,1912,0.8972
7081,1922,1734,0.9022
7089,1362,1214,0.8913
7201,489,420,0.8589
7202,1040,819,0.7875
7203,701,532,0.7589
7205,3320,2612,0.7867
7214,2130,1769,0.8305
7217,4044,3089,0.7638
7219,1185,989,0.8346
7221,1804,1560,0.8647
7224,1022,831,0.8131
7231,826,718,0.8692
7235,2681,2163,0.8068
7237,2778,2291,0.8247
7245,295,263,0.8915
7246,1654,1373,0.8301
7248,2685,2306,0.8588
