Block Group,Total educated number,Less than 9th,9th to 12th,High school,College no degree,Associate,Bachelor,Graduate
"Block Group 4, Census Tract 5064.02, Santa Clara County, California",681,54,43,124,123,14,179,144
"Block Group 1, Census Tract 5065.02, Santa Clara County, California",1089,14,23,208,319,69,296,160
"Block Group 2, Census Tract 5065.02, Santa Clara County, California",395,0,9,28,30,31,200,97
"Block Group 3, Census Tract 5065.02, Santa Clara County, California",1348,19,9,291,279,173,435,142
"Block Group 2, Census Tract 5065.03, Santa Clara County, California",1387,195,44,176,269,99,447,157
"Block Group 3, Census Tract 5065.03, Santa Clara County, California",1127,0,82,154,331,57,324,179
"Block Group 5, Census Tract 5066.04, Santa Clara County, California",824,6,34,74,138,83,276,213
"Block Group 1, Census Tract 5066.05, Santa Clara County, California",1242,0,62,335,138,93,403,211
"Block Group 2, Census Tract 5066.05, Santa Clara County, California",1566,0,13,241,578,158,419,157
"Block Group 2, Census Tract 5066.06, Santa Clara County, California",1418,134,53,228,286,115,388,214
"Block Group 2, Census Tract 5067.01, Santa Clara County, California",1023,9,22,155,268,175,219,175
"Block Group 3, Census Tract 5067.01, Santa Clara County, California",1389,33,11,299,217,33,587,209
"Block Group 1, Census Tract 5067.03, Santa Clara County, California",1159,40,26,226,213,59,357,238
"Block Group 3, Census Tract 5068.01, Santa Clara County, California",961,15,26,53,162,75,448,182
"Block Group 4, Census Tract 5068.01, Santa Clara County, California",569,7,13,38,29,39,284,159
"Block Group 4, Census Tract 5068.02, Santa Clara County, California",380,0,16,27,140,33,112,52
"Block Group 2, Census Tract 5070.02, Santa Clara County, California",1086,0,6,59,71,26,420,504
"Block Group 1, Census Tract 5072.06, Santa Clara County, California",1066,0,17,81,180,55,391,342
"Block Group 2, Census Tract 5072.06, Santa Clara County, California",843,12,14,16,78,4,284,435
"Block Group 5, Census Tract 5073.01, Santa Clara County, California",1498,2,2,104,169,187,421,613
"Block Group 6, Census Tract 5073.01, Santa Clara County, California",866,0,77,58,49,43,299,340
"Block Group 2, Census Tract 5073.02, Santa Clara County, California",745,0,0,71,47,20,292,315
"Block Group 1, Census Tract 5074.01, Santa Clara County, California",963,0,0,12,84,32,374,461
"Block Group 2, Census Tract 5074.01, Santa Clara County, California",979,59,44,31,104,47,297,397
"Block Group 3, Census Tract 5074.01, Santa Clara County, California",892,0,41,104,65,24,290,368
"Block Group 2, Census Tract 5074.02, Santa Clara County, California",970,4,8,96,191,36,394,241
"Block Group 3, Census Tract 5074.02, Santa Clara County, California",1038,28,46,71,176,127,341,249
"Block Group 1, Census Tract 5075, Santa Clara County, California",1178,32,30,36,97,0,305,678
"Block Group 2, Census Tract 5075, Santa Clara County, California",824,20,0,65,81,23,286,349
"Block Group 3, Census Tract 5075, Santa Clara County, California",954,0,18,72,152,107,306,299
"Block Group 4, Census Tract 5075, Santa Clara County, California",1143,0,0,21,69,20,416,617
